Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,0,0,0
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
Package,"com.google.gson",1,1,1,1,10,0,6,3,,,,,104,15,24,,53,,419,90,,,,434,,13,18,6,397,,7580,,,,713,,,,3508,,,1389,1898,3367,,,,,,,1894,2555,1267,,,1288,,,,,,,,12,12,12,12,,,3,,,,0.96,634,634,667,487
Public Class,"com.google.gson.CommentsTest",1,1,1,1,16,1,12,5,1,2,2,0,,0,0,,,,1,0,,,,1,1,0,0,0,1,,22,,,,2,,,,14,,,5,10,8,,,,,,,3,5,4,,,1,,,,,,,,1,1,1,1,,2,0,,0,0,0.57,1,1,1,1
Public Method,"com.google.gson.CommentsTest.testParseComments()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,1,,,,12,,,4,10,5,,,,5,1,0,3,4,3,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.42,1,1,1,1
Anonymous Class,"com.google.gson.CommentsTest.testParseComments.(Anon_1)",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,0,20,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,2,0,,0,0,0.00,0,0,0,0
Class,"com.google.gson.DefaultDateTypeAdapter",2,2,2,1,9,0,9,0,1,7,7,0,,1,1,,,,9,2,,,,10,19,3,2,0,5,,129,,,,13,,,,102,,,20,60,14,,,,,,,38,69,18,,,51,,,,,,,,5,5,5,5,,2,2,,40,25,0.14,27,27,29,17
Constructor,"com.google.gson.DefaultDateTypeAdapter.DefaultDateTypeAdapter(Class<? extends Date>)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,,0,,,,10,,,1,6,0,,,,9,4,1,4,7,1,,,6,,,3,3,3,1,0,,,,,0,,1,0,,,0.00,3,3,3,1
Constructor,"com.google.gson.DefaultDateTypeAdapter.DefaultDateTypeAdapter(Class<? extends Date>,String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,0,,,,7,,,1,4,0,,,,6,2,0,3,5,1,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Constructor,"com.google.gson.DefaultDateTypeAdapter.DefaultDateTypeAdapter(Class<? extends Date>,int)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,0,,,,10,,,1,6,0,,,,9,4,1,4,7,1,,,6,,,3,3,3,1,0,,,,,0,,1,0,,,0.00,3,3,3,1
Public Constructor,"com.google.gson.DefaultDateTypeAdapter.DefaultDateTypeAdapter(Class<? extends Date>,int,int)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,,,,0,,,,10,,,1,6,0,,,,9,4,1,4,7,1,,,6,,,3,3,3,1,0,,,,,0,,1,0,,,0.00,3,3,3,1
